Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
ALG0511;511;Approche anthropo-socio-historique de l'activité physique - Niveau 1;6;24;26;3;0;0
ALG0521;521;Approche pluridisciplinaire de l'éducation et de la motricité - Niveau 1;6;26;28;3;0;0
ALG0531;531;Sciences et technologies des APSA - Niveau 5;6;14;0;0;66;6
ALG0541;541;Éthique et valeurs professionnelles - Niveau 1;3;24;14;3;0;0
ALG0542;542;Analyse de la motricité en contexte de la pratique des APSA de publics diversifiés - Niveau 1;3;14;12;3;0;0
ALG0551;551;Statistiques - Niveau 3;3;2;6;3;0;0
ALG0552;552;Anglais - Niveau 5;3;0;12;3;0;0
ALG0611;611;Approche anthropo-socio-historique de l'activité physique - Niveau 2;3;12;18;3;0;0
ALG0612;612;Analyse de la motricité en contexte de la pratique des APSA de publics diversifiés - Niveau 2;3;12;12;3;0;0
ALG0621;621;Approche pluridisciplinaire de l'éducation et de la motricité - Niveau 2;3;16;20;3;0;0
ALG0622;622;Ethique et valeurs professionnelles - Niveau 2;3;8;12;3;0;0
ALG0631;631;Stage professionnel;6;0;16;3;0;0
ALG0641;641;Mémoire de recherche;6;10;10;3;0;0
ALG0651;651;Analyse de l'activité de l'élève;6;0;26;3;10;6
