Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AMT1111;111;Diagnostic et stratégie des entreprises de loisir sportif;6;20;20;1;0;1
GMA3121;121;Economie du sport;3;20;0;1;0;1
GMA1122;122;Contexte institutionnel et stratégie des organisations sportives;3;10;10;1;0;1
GMZ1141;131;Evaluation, calcul économique et analyse multicritère;2;20;0;1;0;1
GMA2132;132;Application des méthodes d'évaluation, de calcul économique et d'analyse multicritères pour la santé, la protection sociale et le sport;2;0;15;1;0;1
GMZ1151;133;Excel, macro excel, VBA;2;1;14;1;0;1
GMA1141;141;Administration, traitement et analyse des données d'enquête quantitatives;4;15;15;1;0;1
GMA1142;142;Sport, santé, bien-être;2;14;0;1;0;1
GMA1151;151;Lecture series in English 1 ;3;0;20;1;0;1
GMA1161;161;Conférences en économie du sport / Méthodologie du stage et du mémoire;3;20;6;1;0;1
GMA23211;211;Analyse économique des politiques publiques;4;35;0;1;0;1
GMA3221;221;Economie industrielle, analyse sectorielle et territoriale;3;24;0;1;0;1
GMA3222;222;Projets d'économie industrielle;3;0;20;1;0;1
AMT2231;231;Développement et marketing territorial sportif;4;14;10;1;0;1
AMT2232;232;Diagnostic et impact des évènements sportifs;2;8;10;1;0;1
AMT2241;241;Socio-économie des marchés sportifs émergents;4;15;10;1;0;1
AMT2242;242;Innovation, intelligence économique et sport;2;16;0;1;0;1
GMA1261;251;Lecture series in English 2;2;0;20;1;0;1
GMA1271;261;Conférences en économie du sport / Mémoire de recherche;6;20;6;1;0;1
